"","Cluster","Count","Mean_logCPM","STDev_logCPM","Mean_Silhouette"
"1",1,4,10.5173458358555,0.664142776010321,0.437914006963861
"2",2,1.33333333333333,5.80519213723964,7.44968536073164,0
"3",3,18.6666666666667,8.75184677588644,0.505436777146698,0.296584478429841
"4",4,2.66666666666667,4.74370142286235,7.01880372127684,0.24337903097155
"5",5,30.6666666666667,7.75948582728476,0.453619892949874,0.345574554509762
"6",6,18.6666666666667,7.86122431768265,0.445557408619993,0.205462562857983
"7",7,1.33333333333333,6.37512634448547,4.42363483300783,0
"8",8,1.33333333333333,2.41663752199048,9.34058658580121,0
"9",9,90.6666666666667,6.95934361292898,0.465779346540344,0.129759774384128
"10",10,5.33333333333333,6.5194268677307,0.946477518030124,0.336655091247349
"11",11,22.6666666666667,6.57999778646946,0.526459121228976,0.291767732549258
"12",12,1.33333333333333,5.72306001485387,4.16724062651581,0
"13",13,6.66666666666667,3.45799895098184,6.45962421378359,0.434912337724963
"14",14,1.33333333333333,3.63847581648845,6.64858592588373,0
"15",15,21.3333333333333,5.99206049930864,0.761090403284186,0.273789128844762
"16",16,1.33333333333333,3.24131884483166,6.51677309864064,0
"17",17,1.33333333333333,5.32010896711078,4.06511250382127,0
"18",18,33.3333333333333,5.95747941867368,0.740946791262932,0.172414481226492
"19",19,1.33333333333333,5.20280907965264,1.0922005922087,0
"20",20,1.33333333333333,3.78956214665724,5.37119678281069,0
