0H 6H 24H 48H 120H
ENSMUSG00000028108 6.02099881825943 12.9427235338014 294.65210621017 614.774238601547 1707.09777820028
ENSMUSG00000035493 11.8734615797434 60.5504309080921 619.131279640375 710.718742711573 1219.72614843155
ENSMUSG00000030560 32.1464648925725 38.7560847374765 212.328723204819 444.37660847786 902.579022852443
ENSMUSG00000031207 59.8180149360064 117.18885004985 832.05869969173 741.73993719721 1183.39774037608
ENSMUSG00000002602 27.6698893029202 48.2193340237926 600.826587839759 508.687178841021 685.278315294291
ENSMUSG00000038400 42.6541508134752 146.591809561995 209.292314888304 250.892449700424 709.023360482028
ENSMUSG00000030208 5.59572971252128 593.750921738259 134.116004729765 75.3507725490775 61.5723815076482
ENSMUSG00000029304 2.23931858554901 1.01378130354751 33.5642061207293 490.092780050217 614.410727651933
ENSMUSG00000037411 36.2356233436343 771.154916350039 1524.73531969261 1808.76500060215 193.643690119627
ENSMUSG00000026822 31.2687919976654 79.2071035582383 3312.28947017272 4140.11864422417 27.5840496692754
ENSMUSG00000066113 37.270857010625 51.8787252074606 75.263512180854 149.903543584773 579.040739118878
ENSMUSG00000029661 120.873111663514 106.186504592154 79.8330836279288 281.471011496608 645.895525886419
ENSMUSG00000040152 22.1278276501225 435.542604091444 202.737522997664 329.427919318551 508.309481171919
ENSMUSG00000064246 44.5549486840785 32.7218100051792 794.805255245575 1740.43709955613 52.7331391537888
ENSMUSG00000074934 2.90386108353755 86.2790352685717 784.896718012112 1935.18741023428 23.4108026075314
ENSMUSG00000001506 6.67934119501885 62.1130905831599 54.4122011528711 268.056579780608 873.336004816095
ENSMUSG00000022602 7.39832436125948 730.323009609699 41.9809898145138 9.2783463480096 6.3851568068282
ENSMUSG00000034765 21.5832213959228 517.546085183099 144.654083342534 62.6699990987958 50.355605845281
ENSMUSG00000027420 1068.29813894056 525.009923268354 91.6520525512718 57.4294671339738 57.5214191400725
ENSMUSG00000003545 5.4200135787478 1626.86716296063 31.117375937696 10.4691275367669 18.6578401977743
ENSMUSG00000029343 1322.45432142491 729.164855262123 313.457281341894 211.235752046255 85.7449932858246
ENSMUSG00000032332 23.838336068009 21.2273011526993 29.2937716441017 57.3213429146116 759.329395151282
ENSMUSG00000044786 23.2243542511151 745.786032341749 95.771265195278 49.4599515563228 33.6129441424099
ENSMUSG00000027533 520.175217914142 246.488232689971 49.5388835307177 28.7340357527056 57.1278456031606
ENSMUSG00000023034 13.4607614948076 486.988532008657 23.4311659588896 11.0045249646866 5.70143089756889
ENSMUSG00000066975 1706.89787700237 732.646256587523 304.82896942386 197.919443231407 48.1336277008823
ENSMUSG00000038418 73.9867569866814 1932.10945965771 275.729787135996 168.96243044228 194.460347591412
ENSMUSG00000021250 51.8071235323129 1570.33341927464 86.845603740178 31.8022875188043 96.7926587068359
ENSMUSG00000026628 27.3101705899119 768.857813062199 23.2201913200717 12.587561345741 7.24707401007656
