0H 6H 24H 48H 120H
ENSMUSG00000056737 3.32293321320194 3.58543114091811 46.3504354314813 74.5202155061872 97.4778048653608
ENSMUSG00000030774 7.43241824792966 16.9975288529716 33.5089774614268 37.8979172850757 57.7523089288877
ENSMUSG00000020607 1.22711808823169 6.20735439793269 24.7674870838772 35.8944510853351 34.5988908589502
ENSMUSG00000006219 2.51459641337159 4.02874295570898 41.2101361386875 64.5069581346342 94.6490693404276
ENSMUSG00000041773 2.32384574615215 6.65511283708941 22.1691404769485 25.986979116625 76.4696313530833
ENSMUSG00000026981 0.140762984982806 1.02833599724789 47.9876354510009 45.5403150566504 40.2871248486878
ENSMUSG00000006800 6.55063800591419 9.32454177318338 46.6085988047688 55.5484798073817 81.1136656278675
ENSMUSG00000046186 2.72495999321331 23.6534786672101 39.6874047630556 49.0850951107132 49.9234826453209
ENSMUSG00000073489 1.02476035960496 2.59699353967076 21.7198009730256 13.6783741030311 28.1581832351711
ENSMUSG00000046623 0.831186047836096 4.23000711355409 31.5593760439593 34.6726830958147 64.5207688216339
ENSMUSG00000028494 3.40756755489168 4.65015066333912 36.4032413093759 73.1933913805315 39.0368868835859
ENSMUSG00000046159 20.5744926017331 16.5748981719208 5.78278179238082 3.77240887227636 1.01430552532323
ENSMUSG00000054720 2.22128107444961 12.0747998080729 30.6685413145266 45.3229778563811 44.5081256435284
ENSMUSG00000042379 0.377094793465415 34.8191614913806 71.93956079862 36.3892265973232 11.3923537310931
ENSMUSG00000021943 51.4790015052257 52.4586781017343 7.54829965555132 3.3588731856503 0.649563612796049
ENSMUSG00000018819 1.2512094060744 2.34362015205562 8.23304790991698 22.6267740515888 56.8138444590979
ENSMUSG00000040212 4.28322795167623 9.07405407199525 44.5988216146307 70.5162069947294 16.9391081259027
ENSMUSG00000000204 0.122488823804997 0.30468081262652 92.3641708743794 43.1630931032337 3.3910953893763
ENSMUSG00000003541 4.33460168329377 41.1402030308972 74.173361660334 69.3125069526188 13.9310440016646
ENSMUSG00000000290 1.07247065447405 1.97623020700738 16.5652270830826 42.5983257604228 50.3162136083345
ENSMUSG00000044456 2.49008089128304 3.49825935818315 13.0226842138738 17.0986995738421 39.2826333949546
ENSMUSG00000002885 1.33024968813438 3.69194389115046 32.8692866124973 59.8240353702979 62.3998372495882
ENSMUSG00000021281 0.78234230586761 4.80445218973726 34.3517816108991 31.559180612986 45.8735954305793
ENSMUSG00000091553 0.330380573874903 0.331245665505844 8.58388194447247 26.3353660335239 30.6498530756192
ENSMUSG00000033788 1.86071351677138 6.83409239696718 37.789604508405 28.1220686653542 85.5261651488424
ENSMUSG00000027656 2.61857519843001 1.42645718439205 14.2674177628397 22.0791209183769 53.3190735493534
ENSMUSG00000009687 0.615522875866985 3.40824871209467 44.9763144797028 55.1393401880818 24.2775591825849
ENSMUSG00000000489 1.0844589709599 3.18535625284639 26.0347152003007 27.1011207188972 82.5659860748208
ENSMUSG00000071713 0.464255056253395 1.17576238437645 16.1487974644991 37.7840977228821 50.5106437659106
ENSMUSG00000021998 2.64419334611821 4.70510257421998 26.7544034314761 96.3422221288446 58.8907157128191
ENSMUSG00000025473 1.2910781876868 1.61431154994742 22.3277127263975 40.7458148525165 13.4221907454605
ENSMUSG00000018924 0.204028611127525 0.616634210580179 24.6906618650986 46.7400689547643 15.5354969884399
ENSMUSG00000046223 0.293392490335092 18.8007976563851 70.1031660247308 46.2339618784541 24.7258537389405
ENSMUSG00000028859 0.488479390296904 0.576075691684857 33.8952604085769 46.9281845399058 13.8470741472886
ENSMUSG00000021950 0.330196516841509 2.66802802174518 36.2937270797598 10.0832452094291 6.83182570708216
ENSMUSG00000029161 2.14717267558893 59.871235092527 14.1774240822401 3.73677601031865 5.01633510093928
ENSMUSG00000053175 1.37333098358173 14.9686809007614 42.1812405044951 36.7765864712758 27.1729640632427
ENSMUSG00000023805 4.56754804560678 8.70122600193509 17.3050874709827 17.3803170966382 57.1290185314462
ENSMUSG00000015950 1.21777589679778 2.12915428833655 11.7031672979597 27.0314151367531 27.2739942788947
ENSMUSG00000063727 0.0891515719496097 0.406683002569567 3.1813563944977 15.3649220482344 89.7351273885701
ENSMUSG00000041605 0.258620829658407 1.06063132302795 9.27759348647392 16.7753706424289 70.4234009938421
ENSMUSG00000025582 5.32756197367595 34.2482003824029 11.9969645190625 15.3189046246702 79.6437696379045
ENSMUSG00000037974 0.501912700488145 10.9508510092549 96.257296255151 20.5151509666115 8.70938556723354
ENSMUSG00000056758 0.446139285657623 1.82620331271931 30.5630071644872 21.8278666151998 14.7398293929413
ENSMUSG00000050700 61.3902410506012 29.2218150594406 3.57178501459597 1.95513482933428 1.27181630857366
ENSMUSG00000058624 0.40904277421877 2.11574016472449 13.2239493675891 33.1556026026768 20.9647161810227
ENSMUSG00000097789 0.790317269511727 1.04834954891232 10.2807183003348 22.6177986401687 50.6689748127919
ENSMUSG00000027858 1.72040176504978 0.685956139455437 8.25414619893036 15.3624925576789 45.3030929246761
ENSMUSG00000029552 2.55926812711609 7.56202519865586 19.9758472227228 30.6143741586583 53.5906198529807
ENSMUSG00000021678 7.08318214309253 7.05661573405219 31.2289118874011 54.2142116538133 32.2926119028032
ENSMUSG00000024529 1.59402961553135 22.1054470996209 28.2236303199921 84.027244947203 64.3429718565622
ENSMUSG00000017057 0.945349572047148 4.48235041950999 37.1585224213014 85.9894420495909 12.7882928130026
ENSMUSG00000036908 4.522538973505 4.22788674673834 10.8413578931497 21.593458023024 48.6025834634751
ENSMUSG00000059336 3.26954436714875 3.06500279613205 22.1270502104129 29.9247077354773 45.6784837663949
ENSMUSG00000075284 1.53437489828204 2.3073990699619 13.633325013309 22.5741906495226 39.4874621943366
ENSMUSG00000006731 1.52511080641086 2.08946623137103 5.4336601721976 15.8504355001445 39.6630738067534
ENSMUSG00000031962 0.10847463894543 0.225616687607701 1.1210195415425 3.58877708132339 117.814511591324
ENSMUSG00000029371 0.274225588297514 0.697139400940884 64.7287151763105 44.131176159453 2.01109007240473
ENSMUSG00000029379 0.0484498339496108 1.25595184078185 27.0319498449016 39.5321492095043 2.18460406061968
ENSMUSG00000035042 0.266283703048337 0.656980195611491 30.9665964023667 8.91118321673533 0.964583309402376
ENSMUSG00000017737 0.949483100617534 0.529226885949913 18.3140363348245 88.8647991232755 91.0610262797254
ENSMUSG00000021822 1.29811799145346 43.0222535799098 34.1842186119022 57.1944027460377 95.4058625339727
ENSMUSG00000060402 0.972604687128116 1.29674436261409 5.81345317422925 8.15718755590119 53.750087133477
ENSMUSG00000073421 3.91155210383849 5.53056403405043 6.22255587438215 18.7678367524958 59.2706771067491
ENSMUSG00000020077 0.643347257713183 5.10242907717932 35.571733941368 89.4839335526788 25.2269916674841
ENSMUSG00000046805 4.98928849606744 2.96219243997252 16.9728532699556 48.3647541666524 77.6980457318233
ENSMUSG00000028680 1.62422915783288 40.68157688218 10.0094845385965 12.7236986496688 4.51080240453045
ENSMUSG00000070687 0.966692140282036 53.3585385702058 1.8688098920076 1.94292312707319 2.20415947700121
ENSMUSG00000039153 2.09379350233446 5.2761450882484 15.5412002476769 18.1348616984436 47.2337767911079
ENSMUSG00000005124 3.75378138804717 7.26924848539046 13.693336021038 13.1280301896348 34.3883809785505
ENSMUSG00000038067 0.125844740708397 38.0474548111533 96.8215353763173 9.90354194976632 0.193433840765916
ENSMUSG00000019122 0.553736918595512 0.281493715293129 14.4755780155802 51.2952653207936 8.49387005318631
