0H 6H 24H 48H 120H
ENSMUSG00000023159 0.0476855921871304 0.739063031565176 7.80802565155853 7.93654877035445 2.3181440550675
ENSMUSG00000053338 0.00779728991402131 0 1.75758501255897 5.36555422549361 2.63571487779191
ENSMUSG00000115009 0.0961975020589181 1.41185840762573 3.95853226351528 1.31123761060269 2.26743047510144
ENSMUSG00000042357 0.0311524797909547 0.186451584980586 3.51119340770406 7.60195851471542 3.06471717378525
ENSMUSG00000046240 6.06947818116081 4.29153717220581 0.33289063082515 0.112562240985985 0
ENSMUSG00000028174 8.8859115102693 2.08685278245174 0.559297571431414 0.65504095781927 0
ENSMUSG00000026068 0.0372690800924549 0.0220550097940583 3.9241812871064 5.26901348157979 2.38596790229995
ENSMUSG00000030142 0.00779010006904667 0 4.17381524682304 7.86775147971941 1.38751570902525
ENSMUSG00000039942 0.338077603494844 4.22979037996883 0.79007069439525 2.49338535276699 4.65922489800445
ENSMUSG00000020826 0.215431697706881 0.957013873601237 8.95906137655513 2.58686631535064 2.45537362813859
ENSMUSG00000012519 0.0832550276784065 0.664436563458846 5.04150882295628 4.36986314290526 3.0763000506037
ENSMUSG00000029019 0.0888266939602647 0.952021551928853 4.13616486250295 1.81206817544728 1.08076548121224
ENSMUSG00000096753 4.32776266108418 1.12911136254373 0.111069884207748 0.0676140731112588 0
ENSMUSG00000047443 0.0561342784653261 1.33148500986247 2.3535120016994 3.8926127631905 2.53321551558214
ENSMUSG00000105402 4.16070497003813 1.79450873166468 0.746366382898182 0.544528347462847 0.290750415450141
ENSMUSG00000032691 0.346686763748398 2.92259412436581 6.41470101607991 8.02767271466408 4.81709887714278
ENSMUSG00000026832 0.147192662292868 1.42617442913679 3.6376113405841 7.33838068588356 5.57590400939254
ENSMUSG00000020399 0.281220773902834 0.598990897045333 1.70707794706369 6.19311373393264 3.88493512649435
ENSMUSG00000039639 4.22940187454476 2.0373608960577 0.335782723467255 0.182313302207219 0.0834877828999139
ENSMUSG00000021622 7.48877043634378 5.57520081435247 1.29912604493202 1.16875758622831 0.444874535081316
ENSMUSG00000008136 0.276622590517041 3.07509897739352 3.6084825494962 2.29775211443604 9.17460980879895
ENSMUSG00000085925 0.155241939462106 0.387530198405448 7.20846088236334 6.94199764181978 3.10501110512948
ENSMUSG00000022534 0 0 4.91586463040976 5.04496427071754 2.68518207745007
ENSMUSG00000035498 0.0917556532166618 5.39312859033763 5.33756870597597 1.20566288263108 1.18151414723492
ENSMUSG00000074183 0.0232911270274348 1.48674125972926 4.81286177942162 1.03637340787391 0
ENSMUSG00000016524 0.0157774299459698 4.88962772461731 7.13044466649937 0.653506909061525 0
ENSMUSG00000054905 0.00781878577906282 0 3.83020470073754 3.95368597373036 0
ENSMUSG00000071715 0.173991158043569 0.108163385454362 3.71350978225979 7.81832108707752 7.68390320899795
ENSMUSG00000030589 0.0757967791782668 0.130274857399299 3.12919188986558 5.55115488282447 5.45619001152615
ENSMUSG00000022014 0.336573525203387 1.18253656188711 1.59080791659408 2.91493559271853 6.54013117880337
ENSMUSG00000037095 0.039792056077771 0.258997750128474 4.84173492230306 10.0100418658091 0.326962660048869
ENSMUSG00000022221 0.0925869275559834 0.0667942108306379 2.0186649142192 4.34582564017975 3.54260773253522
ENSMUSG00000049988 0.248560194330623 0.0220131924396729 1.41184890025449 3.47927675844777 3.91873490121305
ENSMUSG00000071068 0.0157929254961065 1.39518196071685 4.01146956244243 8.64295641455057 4.40952348205637
ENSMUSG00000079363 0.363918296477094 3.13049135077439 2.83886519146843 1.25924029897402 2.87381923909665
ENSMUSG00000040528 0.395176501629721 0.686718833448322 4.3324539329068 7.98189069214998 7.31103497054516
ENSMUSG00000056498 0.0795446229771317 0.0211914360892746 3.17397615246338 3.75747058325671 2.76952737331009
ENSMUSG00000031662 0.105476118062215 0.460583682843215 1.99460499144811 2.99042820529805 4.46825662582367
ENSMUSG00000074476 1.66742861365774 0.552016688321367 2.8956948116949 9.61356402314798 1.84189212130637
ENSMUSG00000078249 0.189638497458482 3.29544714988686 5.79389518462631 0.613345254949301 1.07465074356938
ENSMUSG00000017652 0.182288297449666 1.03854755866748 2.66154341727623 1.53048445974718 9.5005845741067
ENSMUSG00000020057 0.270298893361791 1.53393773452068 2.88186695304686 5.3787061262486 2.30737416165843
ENSMUSG00000017697 0.286376475079573 0.78812093370969 2.12615370325197 5.28824370069699 2.25270436539537
ENSMUSG00000031098 0.193883987109766 0.228442742450034 2.34012812903047 3.9571656585024 8.79064462572799
ENSMUSG00000030214 0.48224125843889 0.0624240475316204 2.47436563985718 7.24494220679906 5.27467213498456
ENSMUSG00000037280 0.0388718766876471 0.262161969134293 1.27782220609078 2.87247715214779 10.0460988214888
ENSMUSG00000022887 0.337940047947383 0.552918669632288 8.42855512635658 7.67128504217894 2.17036728823082
ENSMUSG00000059089 0.31167009140558 0 1.82079567358652 4.45747276957808 4.48407248645934
ENSMUSG00000062480 0.161216725912604 1.36660749355402 5.75396320644113 6.13571005645897 0.805924977804025
ENSMUSG00000029553 0.131103380880829 0.42135620716934 1.61309585257198 9.3265338075184 2.77287938065773
ENSMUSG00000043263 0.247549413418665 0.108322640949273 3.25929090591608 4.87288597356968 2.58391820411355
ENSMUSG00000097636 0.147647609893642 0.849927674690205 4.80841971687227 2.7399229359132 1.59711725422531
ENSMUSG00000028784 8.44093076394967 3.05054797895949 0.349569753180527 0.491249122519554 0.0404070009447678
ENSMUSG00000044103 0.0528109438842886 0.0673311551061505 4.24054619006545 4.13213261396876 0.0399117071072807
ENSMUSG00000062345 0.0228509180666007 0.21184451221693 4.08751863250554 2.09330833288453 0.592512243905735
ENSMUSG00000041827 0.326231479185118 0.993970631939275 8.95260402736568 3.89601384467439 1.36187119324533
ENSMUSG00000003484 0.0726902045003928 0.333891313112848 2.70700116446474 5.98065009693754 4.93210969310308
ENSMUSG00000111669 2.3933250029623 2.78940730207698 0.388272440811095 0.0451196848334816 0
ENSMUSG00000000982 0.119896942678919 2.58924959904479 7.03343762216106 5.45674537428594 0.765909573226315
