gene_id	WT_0H_DBI_7	WT_0H_DBI_8	WT_0H_DBI_9	WT_24H_DBI_10	WT_24H_DBI_11	WT_24H_DBI_12	WT_48H_DBI_13	WT_48H_DBI_14	WT_48H_DBI_15	WT_0H_DNA2_22	WT_0H_DNA2_23	WT_0H_DNA2_24	WT_120H_DNA2_25	WT_120H_DNA2_26	WT_120H_DNA2_27	WT_0H_DNA1_28	WT_0H_DNA1_29	WT_0H_DNA1_30	WT_6H_DNA1_31	WT_6H_DNA1_32	WT_6H_DNA1_33	WT_24H_DNA1_34	WT_24H_DNA1_35	WT_24H_DNA1_36
ENSMUSG00000030774	3.37961487333993	3.35538644481722	3.58213207524759	4.93691130810574	4.70488209444401	5.28301849212563	5.24759873523519	5.03780286006083	5.56146852682804	0.386438678600673	0.627945540295222	1.43288366518628	5.84462688429991	6.06265435709003	5.57824321850269	3.29016636863198	3.22846653795105	3.37788684667234	4.04775110207029	4.14549118543675	4.22649744192703	4.86462375165792	5.48304271912319	5.04635183021546
ENSMUSG00000006800	3.63436511824268	3.39494545945441	2.32929150662864	5.37808367669504	5.78643885914188	5.83487574607254	5.86101898227878	5.84565634961665	5.83493366791036	1.38429238880785	2.12686061668369	2.36425928148268	6.55380931340824	6.35757368010975	6.03560874432264	3.10913998954014	3.07569063206612	2.05846626565658	3.49276052642667	3.28593604140345	3.04386841424321	5.08545164361663	5.14046081722791	5.90049255351049
ENSMUSG00000020607	1.1497415386565	0.176360166093052	0.417491644867411	4.49798106888552	4.63653146519799	5.17757147058567	5.26058546515045	5.01339886848169	5.36334491333566	0.0655825324120687	-2.89739239114692	-0.0731574024651667	4.84425782183847	5.36908646012535	5.04874772284502	0.422468304184462	0.947177729209634	0.855611496593432	2.51995861770209	2.88279572970898	2.6787887066791	4.4660393081068	4.34614650363003	4.6244902311472
ENSMUSG00000041773	1.19735515253021	1.82718398818281	1.07582359507156	4.30489445769345	4.21239426357081	4.01280556367394	5.23975021092157	4.04066960923408	4.74320775552916	0.648758009225302	0.00376521658376097	-0.261992816747908	6.15913270631884	6.52907495955404	5.99928991366464	2.16553166826375	1.4982706142029	1.66480874589627	2.51995861770209	2.60378265004304	3.2025395649642	4.28190772522614	5.31584891724833	4.32561273996455
ENSMUSG00000024907	0.0392548178715062	-0.125572365353743	-0.444363039297503	3.36026708564008	4.06415566281812	4.05972429336414	4.07294830756986	3.89465730743129	4.43774076637349	-0.347670153754631	-0.814986884969065	-0.0731574024651667	7.85607363825208	7.64869417935732	7.34546819274156	-0.203728265708943	-0.894757096005654	0.420449208614152	3.06631939437657	3.04272228152644	3.52257135399897	4.10030121349234	3.98375316339663	4.39949144296133
ENSMUSG00000006219	2.37757846829556	2.25024670055367	1.64970161101691	5.1888147693547	5.61719865273502	5.36269091802334	5.94225334777131	5.73806959683286	6.42368115670082	0.870639445470927	0.627945540295222	0.722707794018881	6.51674984639748	6.79665275729545	6.30581878701049	0.726681663317116	1.13565279536553	1.28556047403949	0.794624779907851	2.51108663556297	2.40514620359265	5.70918496651812	5.46812341830294	4.67919063573654
ENSMUSG00000030587	-1.4837578018414	-1.25589854422931	-0.828071579691786	2.84093950498627	3.32406186493202	2.83742534953159	2.65941628924931	2.9076175068161	2.24298231247917	-0.929069638805625	0.152070672027591	-0.0731574024651667	3.59062967844777	3.93496678332425	3.37642604248184	1.66695780283208	0.690790372712656	2.09428315855225	3.15970679268222	3.04272228152644	2.89447172611494	5.32926895547313	5.7718847124019	4.8645160356722
ENSMUSG00000022758	4.80235332541895	5.24698539713638	5.70186494130898	2.78470151922839	1.69001989254077	2.36889038035255	2.28538541213865	2.72430364825251	2.64775735569455	5.25511848535407	5.10129006615426	5.04021245652697	2.24808182928906	1.79908422221646	2.65717549929055	4.28412330453899	3.9887335840451	4.70895397551179	4.20624724251784	4.07784898685004	4.23217020890808	1.47632107172043	1.20753335680651	1.42911365681205
ENSMUSG00000026981	-2.2607639663182	-1.02955168351447	-1.06652361639259	5.3232057713266	5.97987737792089	5.31099155079274	6.31145210108974	5.17614521028301	4.69522522544855	-1.34055290029943	-1.50916763371983	-2.89739239114692	5.34477423728543	5.73466756930327	4.71937785641547	-2.89739239114692	-2.89739239114692	-1.77954866522252	-2.89739239114692	0.720170923677136	0.812925408625501	5.13797890894863	6.23546470627187	5.21951598699151
ENSMUSG00000073489	-0.609671532620645	0.0825658457290935	0.887903063368573	4.852796275189	4.24719050481925	3.90681275166702	4.42638877923187	3.48838646814696	3.33104053183259	-1.34055290029943	-1.50916763371983	-2.89739239114692	4.57357661368339	5.23132146577536	4.50668354352653	0.242344744705745	0.768808275406045	1.40445702423303	0.579725016385715	1.80107154893889	1.75673560017981	4.59083991021256	4.68564683406558	4.22470351685743
ENSMUSG00000042379	-0.0692467457156774	-0.661725822915706	-2.18424376634506	5.97202448972987	6.74059117315302	5.66537472533795	5.23185875554405	5.66944299632309	4.6243963879671	-1.34055290029943	-1.50916763371983	-0.735295886364054	3.22755659353491	4.1709840293428	2.78458739578158	-2.89739239114692	-1.48015847843082	0.0345302793864841	4.7388248536428	4.25978743081147	5.96815118135258	5.69716335584449	6.67704689411093	5.92571565672834
ENSMUSG00000046623	-1.21088451394624	-0.833947873023419	-1.06652361639259	3.48315533271872	4.87026631351186	4.7612780332705	5.06422456674557	4.53220967829583	5.68740113059211	-0.347670153754631	-0.348292105761027	-1.44436274284974	5.73998212735113	6.50270206531204	5.59224490425319	-0.0392307373053994	0.221192613984833	1.56623174658848	1.14714373025688	2.73838749978775	2.16530559911285	5.78951115896997	5.4475270364654	4.48601081778645
ENSMUSG00000020901	-0.609671532620645	0.425908553075587	-1.70914581792125	3.61801137197206	3.75321088932154	3.72747241223006	4.44015271781851	3.63954938898381	3.59784088729774	-2.89739239114692	-1.12072160812718	-1.44436274284974	3.3797860611707	2.81452627164467	3.05106397122076	-1.33501136430497	-2.15902070721804	-1.77954866522252	0.726487338076647	1.35956805589716	1.08782455173699	3.3390110329083	4.05083120982652	3.27295580700058
ENSMUSG00000028494	2.81922321011139	2.52442911527964	2.20054115802183	5.52835313945713	4.88507168810112	5.30265643562586	6.80276718959269	5.99956772163838	5.68944362950288	0.52355220526553	1.20489947874871	0.821217716357282	5.35005108375217	5.51146458213285	4.91030572594805	0.85768915095756	2.26252638345006	1.56623174658848	1.34189026385411	2.17363240569793	2.95060399615307	4.80089317683919	5.07929893049098	5.45553195491151
ENSMUSG00000034457	-1.21088451394624	-1.02955168351447	-1.06652361639259	3.34738233361675	4.20060648441514	4.04647391679024	3.64401009925464	3.03430805495327	3.88839368582455	-1.34055290029943	-0.814986884969065	-1.99519379412258	4.01941609416954	4.14564087670892	3.922283481865	-0.99637213519633	-2.89739239114692	-2.89739239114692	-2.89739239114692	-1.30606749045534	-2.26557626439542	3.84534444299796	3.73454373900931	2.52433864975048
ENSMUSG00000040212	3.3483193773133	3.00532925329853	3.03574446435385	5.85855173592929	5.86695237092827	6.1095009982603	6.40331654331571	6.13156174978069	6.00694060115975	-0.929069638805625	0.52287216982376	-0.261992816747908	4.18210843869908	4.2284421571939	3.79488936381404	2.1485704883355	1.58708985636924	1.88528190550342	1.90116282824911	2.92446986400404	4.10190657711604	4.87746507397021	4.99096656055011	4.71545691640631
ENSMUSG00000000204	-0.981505175337328	-0.833947873023419	-1.06652361639259	5.53405020798477	6.01563670956001	5.94072248240596	6.34719918420882	5.00104030374643	4.3680410183283	-2.89739239114692	-2.89739239114692	-2.89739239114692	1.49295187323495	2.53112322784981	0.911885665637591	-2.89739239114692	-2.89739239114692	-2.89739239114692	-0.904231960622302	-2.40923538465531	-0.620419213753475	6.73640652767606	7.60844108276189	6.30376689852884
ENSMUSG00000021281	-0.783642025983193	-1.02955168351447	-1.06652361639259	5.33304303908666	5.04852592044909	5.71646695188902	5.2887513226041	4.63576254555723	5.10329513206623	-0.929069638805625	-0.814986884969065	-1.0466986304311	5.68675541331413	5.56979155437163	5.23875520764948	0.582578651863327	-0.309502081637629	1.40445702423303	0.859688751984121	1.82327291910718	3.31372515970098	4.71049119162306	5.11456541590379	4.49566798020884
ENSMUSG00000000290	-0.186576923421832	0.880744985786219	1.07582359507156	2.96421655030376	3.00966401498466	4.42484120987203	6.30770306507227	4.99170140507051	4.41323275027625	0.0655825324120687	-0.56284992822133	0.0937975564853561	5.65726014785331	5.99804014155617	5.15633289115912	0.176933752148507	0.42769748075138	0.0345302793864841	-0.097856772263304	1.29748509806317	1.62495056696999	4.5024169945043	4.44088539331331	4.17748493472383
ENSMUSG00000009687	-0.186576923421832	0.50034106008317	-0.285034053787858	5.13359862611007	5.94497652513892	5.85211335189019	6.21600722890359	5.79644574864379	5.3710006745033	-2.89739239114692	-2.04237389011337	-0.261992816747908	4.38080430569242	5.10990374009915	4.1091638456196	0.0364804002068742	0.275655395237409	-2.42223013394478	-0.904231960622302	2.06603048961361	2.62805567985932	5.54315918780415	5.55412526673794	4.63326621570331
ENSMUSG00000003752	3.12029648396375	3.08004093517643	3.35898832575751	4.3508085432881	4.86654110725267	4.57080992127157	4.92106706409639	4.42064530840905	4.42798746289519	3.19011228945772	3.08619889891105	3.15067800805363	4.30675015034492	4.03036510103634	4.00834232587561	4.12847423557885	3.09853148780165	3.83487855247665	6.24780883765817	6.77995021673144	7.33938064279256	4.49132124001976	4.80270906871136	4.70993648369992
