gene_id	FN_0H_DBI_1	FN_0H_DBI_2	FN_0H_DBI_3	FN_48H_DBI_4	FN_48H_DBI_5	FN_48H_DBI_6	WT_0H_DBI_7	WT_0H_DBI_8	WT_0H_DBI_9	WT_24H_DBI_10	WT_24H_DBI_11	WT_24H_DBI_12	WT_48H_DBI_13	WT_48H_DBI_14	WT_48H_DBI_15	B8_0H_DNA1_16	B8_0H_DNA1_17	B8_0H_DNA1_18	B8_24H_DNA1_19	B8_24H_DNA1_20	B8_24H_DNA1_21	WT_0H_DNA2_22	WT_0H_DNA2_23	WT_0H_DNA2_24	WT_120H_DNA2_25	WT_120H_DNA2_26	WT_120H_DNA2_27	WT_0H_DNA1_28	WT_0H_DNA1_29	WT_0H_DNA1_30	WT_6H_DNA1_31	WT_6H_DNA1_32	WT_6H_DNA1_33	WT_24H_DNA1_34	WT_24H_DNA1_35	WT_24H_DNA1_36
ENSMUSG00000030774	2.7781715771158	3.18936485552195	2.91662240421557	4.76781214792147	5.3180465449684	5.25926402529921	3.37961487333993	3.35538644481722	3.58213207524759	4.93691130810574	4.70488209444401	5.28301849212563	5.24759873523519	5.03780286006083	5.56146852682804	2.13057204555592	1.88526612673302	1.46644127747501	4.2762395127578	4.04246572117228	3.83239407921034	0.386438678600673	0.627945540295222	1.43288366518628	5.84462688429991	6.06265435709003	5.57824321850269	3.29016636863198	3.22846653795105	3.37788684667234	4.04775110207029	4.14549118543675	4.22649744192703	4.86462375165792	5.48304271912319	5.04635183021546
ENSMUSG00000006800	2.36104170610976	3.07896874164527	2.61085502987086	5.60053957220619	5.70327712853488	5.48253845068982	3.63436511824268	3.39494545945441	2.32929150662864	5.37808367669504	5.78643885914188	5.83487574607254	5.86101898227878	5.84565634961665	5.83493366791036	2.8215493009303	2.750751904488	2.63556697983419	5.48914366132326	5.4294458137455	5.53414781204288	1.38429238880785	2.12686061668369	2.36425928148268	6.55380931340824	6.35757368010975	6.03560874432264	3.10913998954014	3.07569063206612	2.05846626565658	3.49276052642667	3.28593604140345	3.04386841424321	5.08545164361663	5.14046081722791	5.90049255351049
ENSMUSG00000020607	0.532594449104896	0.924624607111231	1.13380449673435	4.06980756256603	5.41928146426507	5.76357966916928	1.1497415386565	0.176360166093052	0.417491644867411	4.49798106888552	4.63653146519799	5.17757147058567	5.26058546515045	5.01339886848169	5.36334491333566	0.593838151176823	-0.121066888269562	-0.337322268719186	4.55824690884978	4.20835382253214	3.87108379928811	0.0655825324120687	-2.89739239114692	-0.0731574024651667	4.84425782183847	5.36908646012535	5.04874772284502	0.422468304184462	0.947177729209634	0.855611496593432	2.51995861770209	2.88279572970898	2.6787887066791	4.4660393081068	4.34614650363003	4.6244902311472
ENSMUSG00000041773	2.65207034908435	1.76984360807917	1.90283798453103	4.45066053289863	5.10105259579479	5.0896199655404	1.19735515253021	1.82718398818281	1.07582359507156	4.30489445769345	4.21239426357081	4.01280556367394	5.23975021092157	4.04066960923408	4.74320775552916	0.990978326279062	0.529107614591595	0.997509095778177	4.48638029132479	3.99677731793925	3.6760855129545	0.648758009225302	0.00376521658376097	-0.261992816747908	6.15913270631884	6.52907495955404	5.99928991366464	2.16553166826375	1.4982706142029	1.66480874589627	2.51995861770209	2.60378265004304	3.2025395649642	4.28190772522614	5.31584891724833	4.32561273996455
ENSMUSG00000024907	2.11010107686827	2.34770738396407	-1.17385005047409	4.23555413907853	4.02788477564418	4.04731839731686	0.0392548178715062	-0.125572365353743	-0.444363039297503	3.36026708564008	4.06415566281812	4.05972429336414	4.07294830756986	3.89465730743129	4.43774076637349	3.63110759709843	3.02577411745512	3.33673870116012	5.04940329408038	4.55063757170141	4.7235610489576	-0.347670153754631	-0.814986884969065	-0.0731574024651667	7.85607363825208	7.64869417935732	7.34546819274156	-0.203728265708943	-0.894757096005654	0.420449208614152	3.06631939437657	3.04272228152644	3.52257135399897	4.10030121349234	3.98375316339663	4.39949144296133
ENSMUSG00000006219	2.47184034238366	1.99933691015255	2.25385528660917	5.12164746339563	6.67256843008015	6.67500242618166	2.37757846829556	2.25024670055367	1.64970161101691	5.1888147693547	5.61719865273502	5.36269091802334	5.94225334777131	5.73806959683286	6.42368115670082	1.52822084700979	0.813240364937118	1.60277370011591	5.40318701731075	5.20127709913963	4.48665597401202	0.870639445470927	0.627945540295222	0.722707794018881	6.51674984639748	6.79665275729545	6.30581878701049	0.726681663317116	1.13565279536553	1.28556047403949	0.794624779907851	2.51108663556297	2.40514620359265	5.70918496651812	5.46812341830294	4.67919063573654
ENSMUSG00000030587	-0.675000836308834	-0.167792345277968	0.219450782770452	2.50130598194113	2.51221583731995	2.55433262324804	-1.4837578018414	-1.25589854422931	-0.828071579691786	2.84093950498627	3.32406186493202	2.83742534953159	2.65941628924931	2.9076175068161	2.24298231247917	2.15013564748023	2.16333899535209	2.19249568784641	4.66226096089443	4.88294915922575	4.27534990154465	-0.929069638805625	0.152070672027591	-0.0731574024651667	3.59062967844777	3.93496678332425	3.37642604248184	1.66695780283208	0.690790372712656	2.09428315855225	3.15970679268222	3.04272228152644	2.89447172611494	5.32926895547313	5.7718847124019	4.8645160356722
ENSMUSG00000022758	5.77719113343571	4.99863712630141	5.68170231099026	3.13201932444796	3.11787890481354	2.29422643350686	4.80235332541895	5.24698539713638	5.70186494130898	2.78470151922839	1.69001989254077	2.36889038035255	2.28538541213865	2.72430364825251	2.64775735569455	4.87621316379907	4.61651421693212	4.86072416148305	1.66560969443366	0.896838704533946	2.0479456383688	5.25511848535407	5.10129006615426	5.04021245652697	2.24808182928906	1.79908422221646	2.65717549929055	4.28412330453899	3.9887335840451	4.70895397551179	4.20624724251784	4.07784898685004	4.23217020890808	1.47632107172043	1.20753335680651	1.42911365681205
ENSMUSG00000026981	-1.11312186484602	-1.72636817674944	-1.17385005047409	4.65526342843994	5.0849242358876	5.77540832818469	-2.2607639663182	-1.02955168351447	-1.06652361639259	5.3232057713266	5.97987737792089	5.31099155079274	6.31145210108974	5.17614521028301	4.69522522544855	-2.89739239114692	-2.89739239114692	-2.89739239114692	4.82574677784681	4.73142144684289	5.26550912591044	-1.34055290029943	-1.50916763371983	-2.89739239114692	5.34477423728543	5.73466756930327	4.71937785641547	-2.89739239114692	-2.89739239114692	-1.77954866522252	-2.89739239114692	0.720170923677136	0.812925408625501	5.13797890894863	6.23546470627187	5.21951598699151
ENSMUSG00000073489	-0.675000836308834	-1.37254014012737	0.341755685752712	3.01526677583338	3.37294654314843	3.50023236160612	-0.609671532620645	0.0825658457290935	0.887903063368573	4.852796275189	4.24719050481925	3.90681275166702	4.42638877923187	3.48838646814696	3.33104053183259	-0.707242430807808	0.0345160513593154	-0.0651698399494529	3.36538318637942	3.81247215696301	3.93740346804598	-1.34055290029943	-1.50916763371983	-2.89739239114692	4.57357661368339	5.23132146577536	4.50668354352653	0.242344744705745	0.768808275406045	1.40445702423303	0.579725016385715	1.80107154893889	1.75673560017981	4.59083991021256	4.68564683406558	4.22470351685743
ENSMUSG00000042379	-1.11312186484602	-0.310781384899201	-1.17385005047409	4.10197278993495	4.44669894869741	5.30077927103743	-0.0692467457156774	-0.661725822915706	-2.18424376634506	5.97202448972987	6.74059117315302	5.66537472533795	5.23185875554405	5.66944299632309	4.6243963879671	-2.89739239114692	-0.39128774585213	-0.552241239747032	6.61887463531831	6.17366283704144	5.92891243318819	-1.34055290029943	-1.50916763371983	-0.735295886364054	3.22755659353491	4.1709840293428	2.78458739578158	-2.89739239114692	-1.48015847843082	0.0345302793864841	4.7388248536428	4.25978743081147	5.96815118135258	5.69716335584449	6.67704689411093	5.92571565672834
ENSMUSG00000046623	0.6121617009327	-0.310781384899201	-0.410697132922045	3.96877137809184	5.56825613902947	5.70499941669918	-1.21088451394624	-0.833947873023419	-1.06652361639259	3.48315533271872	4.87026631351186	4.7612780332705	5.06422456674557	4.53220967829583	5.68740113059211	1.15488787175368	0.24034103745096	1.1477288175249	4.88068827838614	5.22848576079947	5.21460179365477	-0.347670153754631	-0.348292105761027	-1.44436274284974	5.73998212735113	6.50270206531204	5.59224490425319	-0.0392307373053994	0.221192613984833	1.56623174658848	1.14714373025688	2.73838749978775	2.16530559911285	5.78951115896997	5.4475270364654	4.48601081778645
